물품대분류,상품명,물품판매량,제품단가
FC,좋은느낌라이너 유기농순면 롱 팬티라이너 36개입 X 2 (EA),44,8836
FC,화이트 스타일핏 수퍼울트라 날개 대형 16입,25,8968
FC,화이트 스타일핏 수퍼울트라 날개 중형 18개입,13,8169
FC,화이트 시크릿홀 가든프레시뉴 울트라 날개 대형 16개입,30,10260
FC,화이트 시크릿홀 가든프레시뉴 울트라 날개 중형 18개입,20,9690
FC,화이트 시크릿홀 맥시슬림 수퍼롱 오버나이트 10개입,62,8867
FC,화이트 시크릿홀 맥시슬림 수퍼롱 오버나이트 10개입 (EA),19,7926
FC,화이트 시크릿홀 맥시슬림 수퍼롱 오버나이트 10개입 X3,4,44100
FC,화이트 시크릿홀 수퍼롱 10개입,88,10019
FC,화이트 시크릿홀 울트라 날개 대형 17개입,47,11936
FC,화이트 시크릿홀 울트라 날개 중형 19개입,137,10407
FC,화이트 시크릿홀 울트라슬림 날개 대형 17개입,50,8250
FC,화이트 시크릿홀 울트라슬림 날개 대형 17개입 (EA),9,6050
FC,화이트 시크릿홀 울트라슬림 날개 대형 17개입 X3,1,50400
FC,화이트 시크릿홀 울트라슬림 날개 중형 19개입,82,9630
FC,화이트 시크릿홀 울트라슬림 날개 중형 19개입 (EA),21,5679
FC,화이트 시크릿홀 울트라슬림 날개 중형 19개입 X3,3,42000
FC,화이트 시크릿홀 울트라슬림 날개 중형 19개입+울트라슬림 날개 대형 17개입+맥시슬림 수퍼롱 오버나이트 10개입,2,25200
FC,화이트 에코프레시 맥시슬림 날개 대형 14개입,31,10858
FC,화이트 에코프레시 맥시슬림 날개 대형 14개입 (EA),3,9900
FC,화이트 에코프레시 맥시슬림 날개 대형 14개입 X4,8,26400
FC,화이트 에코프레시 맥시슬림 날개 중형 16개입,22,12600
FC,화이트 에코프레시 맥시슬림 날개 중형 16개입 (EA),4,8910
FC,화이트 에코프레시 맥시슬림 날개 중형 16개입 X4,9,29333
FC,화이트 에코프레시 맥시슬림 슈퍼롱 오버나이트 8개입,34,9382
FC,화이트 에코프레시 맥시슬림 슈퍼롱 오버나이트 8개입 (EA),5,5940
